Date,Code,Description,Unit of Measure,Value
1969/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,956.7
1969/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,968.2
1969/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,963.9
1969/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,964.7
1969/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.2
1970/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,975.2
1970/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,949.3
1970/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,974.3
1970/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,970.3
1970/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,978.7
1970/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,992.8
1970/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.0
1970/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,978.5
1970/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,976.7
1970/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,973.0
1970/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,968.8
1970/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,974.1
1971/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,961.5
1971/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,966.9
1971/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,977.9
1971/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,963.6
1971/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,951.4
1971/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,948.0
1971/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,953.3
1971/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,939.6
1971/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,924.7
1971/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,940.6
1971/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,940.3
1971/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,936.0
1972/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,926.6
1972/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,880.5
1972/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,879.8
1972/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,900.6
1972/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,909.3
1972/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,893.2
1972/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,884.2
1972/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,877.7
1972/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,873.3
1972/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,872.0
1972/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,860.4
1972/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,851.1
1973/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,860.6
1973/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,867.9
1973/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,852.4
1973/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,838.3
1973/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,829.5
1973/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,828.4
1973/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,825.9
1973/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,837.8
1973/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,813.6
1973/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,811.0
1973/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,821.2
1973/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,810.6
1974/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,803.6
1974/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,804.0
1974/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,731.3
1974/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,746.0
1974/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,768.6
1974/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,733.2
1974/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,735.6
1974/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,725.4
1974/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,724.4
