Date,Code,Description,Unit of Measure,Value
1983/08,KBP5357M,London gold price in US dollar,[object Object],416.22
1983/09,KBP5357M,London gold price in US dollar,[object Object],412.02
1983/10,KBP5357M,London gold price in US dollar,[object Object],393.91
1983/11,KBP5357M,London gold price in US dollar,[object Object],381.34
1983/12,KBP5357M,London gold price in US dollar,[object Object],388.20
1984/01,KBP5357M,London gold price in US dollar,[object Object],370.81
1984/02,KBP5357M,London gold price in US dollar,[object Object],385.98
1984/03,KBP5357M,London gold price in US dollar,[object Object],394.50
1984/04,KBP5357M,London gold price in US dollar,[object Object],381.37
1984/05,KBP5357M,London gold price in US dollar,[object Object],377.18
1984/06,KBP5357M,London gold price in US dollar,[object Object],377.99
1984/07,KBP5357M,London gold price in US dollar,[object Object],347.53
1984/08,KBP5357M,London gold price in US dollar,[object Object],347.68
1984/09,KBP5357M,London gold price in US dollar,[object Object],341.02
1984/10,KBP5357M,London gold price in US dollar,[object Object],340.20
1984/11,KBP5357M,London gold price in US dollar,[object Object],341.23
1984/12,KBP5357M,London gold price in US dollar,[object Object],319.89
1985/01,KBP5357M,London gold price in US dollar,[object Object],302.82
1985/02,KBP5357M,London gold price in US dollar,[object Object],299.47
1985/03,KBP5357M,London gold price in US dollar,[object Object],303.57
1985/04,KBP5357M,London gold price in US dollar,[object Object],325.08
1985/05,KBP5357M,London gold price in US dollar,[object Object],316.21
1985/06,KBP5357M,London gold price in US dollar,[object Object],316.39
1985/07,KBP5357M,London gold price in US dollar,[object Object],317.21
1985/08,KBP5357M,London gold price in US dollar,[object Object],329.96
1985/09,KBP5357M,London gold price in US dollar,[object Object],323.56
1985/10,KBP5357M,London gold price in US dollar,[object Object],325.97
1985/11,KBP5357M,London gold price in US dollar,[object Object],325.42
1985/12,KBP5357M,London gold price in US dollar,[object Object],321.85
1986/01,KBP5357M,London gold price in US dollar,[object Object],345.47
1986/02,KBP5357M,London gold price in US dollar,[object Object],338.97
1986/03,KBP5357M,London gold price in US dollar,[object Object],345.90
1986/04,KBP5357M,London gold price in US dollar,[object Object],340.58
1986/05,KBP5357M,London gold price in US dollar,[object Object],342.32
1986/06,KBP5357M,London gold price in US dollar,[object Object],342.76
1986/07,KBP5357M,London gold price in US dollar,[object Object],348.45
1986/08,KBP5357M,London gold price in US dollar,[object Object],376.44
1986/09,KBP5357M,London gold price in US dollar,[object Object],417.94
1986/10,KBP5357M,London gold price in US dollar,[object Object],423.69
1986/11,KBP5357M,London gold price in US dollar,[object Object],397.27
1986/12,KBP5357M,London gold price in US dollar,[object Object],391.26
1987/01,KBP5357M,London gold price in US dollar,[object Object],408.39
1987/02,KBP5357M,London gold price in US dollar,[object Object],401.08
1987/03,KBP5357M,London gold price in US dollar,[object Object],408.88
1987/04,KBP5357M,London gold price in US dollar,[object Object],439.01
1987/05,KBP5357M,London gold price in US dollar,[object Object],460.94
1987/06,KBP5357M,London gold price in US dollar,[object Object],449.44
1987/07,KBP5357M,London gold price in US dollar,[object Object],450.42
1987/08,KBP5357M,London gold price in US dollar,[object Object],460.77
1987/09,KBP5357M,London gold price in US dollar,[object Object],460.23
1987/10,KBP5357M,London gold price in US dollar,[object Object],465.56
1987/11,KBP5357M,London gold price in US dollar,[object Object],467.85
1987/12,KBP5357M,London gold price in US dollar,[object Object],486.60
1988/01,KBP5357M,London gold price in US dollar,[object Object],477.17
1988/02,KBP5357M,London gold price in US dollar,[object Object],442.10
1988/03,KBP5357M,London gold price in US dollar,[object Object],443.55
1988/04,KBP5357M,London gold price in US dollar,[object Object],451.56
1988/05,KBP5357M,London gold price in US dollar,[object Object],451.20
1988/06,KBP5357M,London gold price in US dollar,[object Object],451.49
1988/07,KBP5357M,London gold price in US dollar,[object Object],437.54
1988/08,KBP5357M,London gold price in US dollar,[object Object],431.17
1988/09,KBP5357M,London gold price in US dollar,[object Object],413.45
1988/10,KBP5357M,London gold price in US dollar,[object Object],406.59
1988/11,KBP5357M,London gold price in US dollar,[object Object],420.07
1988/12,KBP5357M,London gold price in US dollar,[object Object],419.15
1989/01,KBP5357M,London gold price in US dollar,[object Object],404.23
1989/02,KBP5357M,London gold price in US dollar,[object Object],387.74
1989/03,KBP5357M,London gold price in US dollar,[object Object],390.21
1989/04,KBP5357M,London gold price in US dollar,[object Object],384.56
1989/05,KBP5357M,London gold price in US dollar,[object Object],371.20
1989/06,KBP5357M,London gold price in US dollar,[object Object],367.66
1989/07,KBP5357M,London gold price in US dollar,[object Object],375.12
1989/08,KBP5357M,London gold price in US dollar,[object Object],365.35
1989/09,KBP5357M,London gold price in US dollar,[object Object],361.77
1989/10,KBP5357M,London gold price in US dollar,[object Object],366.84
1989/11,KBP5357M,London gold price in US dollar,[object Object],394.31
1989/12,KBP5357M,London gold price in US dollar,[object Object],409.52
1990/01,KBP5357M,London gold price in US dollar,[object Object],410.11
1990/02,KBP5357M,London gold price in US dollar,[object Object],416.68
1990/03,KBP5357M,London gold price in US dollar,[object Object],393.36
1990/04,KBP5357M,London gold price in US dollar,[object Object],374.59
1990/05,KBP5357M,London gold price in US dollar,[object Object],368.95
1990/06,KBP5357M,London gold price in US dollar,[object Object],352.49
1990/07,KBP5357M,London gold price in US dollar,[object Object],362.17
1990/08,KBP5357M,London gold price in US dollar,[object Object],394.79
1990/09,KBP5357M,London gold price in US dollar,[object Object],389.44
1990/10,KBP5357M,London gold price in US dollar,[object Object],381.04
1990/11,KBP5357M,London gold price in US dollar,[object Object],381.80
1990/12,KBP5357M,London gold price in US dollar,[object Object],377.55
1991/01,KBP5357M,London gold price in US dollar,[object Object],384.11
1991/02,KBP5357M,London gold price in US dollar,[object Object],363.79
1991/03,KBP5357M,London gold price in US dollar,[object Object],363.36
1991/04,KBP5357M,London gold price in US dollar,[object Object],358.29
1991/05,KBP5357M,London gold price in US dollar,[object Object],356.98
1991/06,KBP5357M,London gold price in US dollar,[object Object],366.54
1991/07,KBP5357M,London gold price in US dollar,[object Object],367.85
1991/08,KBP5357M,London gold price in US dollar,[object Object],356.40
1991/09,KBP5357M,London gold price in US dollar,[object Object],348.60
1991/10,KBP5357M,London gold price in US dollar,[object Object],358.76
1991/11,KBP5357M,London gold price in US dollar,[object Object],360.09
1991/12,KBP5357M,London gold price in US dollar,[object Object],361.54
1992/01,KBP5357M,London gold price in US dollar,[object Object],354.55
1992/02,KBP5357M,London gold price in US dollar,[object Object],353.88
1992/03,KBP5357M,London gold price in US dollar,[object Object],344.49
1992/04,KBP5357M,London gold price in US dollar,[object Object],338.58
1992/05,KBP5357M,London gold price in US dollar,[object Object],337.15
1992/06,KBP5357M,London gold price in US dollar,[object Object],340.79
1992/07,KBP5357M,London gold price in US dollar,[object Object],352.59
1992/08,KBP5357M,London gold price in US dollar,[object Object],343.35
1992/09,KBP5357M,London gold price in US dollar,[object Object],345.36
1992/10,KBP5357M,London gold price in US dollar,[object Object],344.33
1992/11,KBP5357M,London gold price in US dollar,[object Object],334.97
1992/12,KBP5357M,London gold price in US dollar,[object Object],334.63
1993/01,KBP5357M,London gold price in US dollar,[object Object],329.00
1993/02,KBP5357M,London gold price in US dollar,[object Object],329.31
1993/03,KBP5357M,London gold price in US dollar,[object Object],330.03
1993/04,KBP5357M,London gold price in US dollar,[object Object],342.05
1993/05,KBP5357M,London gold price in US dollar,[object Object],366.39
1993/06,KBP5357M,London gold price in US dollar,[object Object],371.91
1993/07,KBP5357M,London gold price in US dollar,[object Object],392.12
1993/08,KBP5357M,London gold price in US dollar,[object Object],378.88
1993/09,KBP5357M,London gold price in US dollar,[object Object],355.35
1993/10,KBP5357M,London gold price in US dollar,[object Object],364.09
1993/11,KBP5357M,London gold price in US dollar,[object Object],373.88
1993/12,KBP5357M,London gold price in US dollar,[object Object],383.37
1994/01,KBP5357M,London gold price in US dollar,[object Object],386.99
1994/02,KBP5357M,London gold price in US dollar,[object Object],381.78
1994/03,KBP5357M,London gold price in US dollar,[object Object],384.06
1994/04,KBP5357M,London gold price in US dollar,[object Object],377.59
1994/05,KBP5357M,London gold price in US dollar,[object Object],381.29
1994/06,KBP5357M,London gold price in US dollar,[object Object],385.68
1994/07,KBP5357M,London gold price in US dollar,[object Object],385.46
1994/08,KBP5357M,London gold price in US dollar,[object Object],380.41
1994/09,KBP5357M,London gold price in US dollar,[object Object],391.46
1994/10,KBP5357M,London gold price in US dollar,[object Object],389.97
1994/11,KBP5357M,London gold price in US dollar,[object Object],384.38
1994/12,KBP5357M,London gold price in US dollar,[object Object],379.56
1995/01,KBP5357M,London gold price in US dollar,[object Object],378.82
1995/02,KBP5357M,London gold price in US dollar,[object Object],376.71
1995/03,KBP5357M,London gold price in US dollar,[object Object],381.97
1995/04,KBP5357M,London gold price in US dollar,[object Object],391.18
1995/05,KBP5357M,London gold price in US dollar,[object Object],385.23
1995/06,KBP5357M,London gold price in US dollar,[object Object],387.59
1995/07,KBP5357M,London gold price in US dollar,[object Object],386.19
1995/08,KBP5357M,London gold price in US dollar,[object Object],383.55
1995/09,KBP5357M,London gold price in US dollar,[object Object],383.01
1995/10,KBP5357M,London gold price in US dollar,[object Object],383.17
1995/11,KBP5357M,London gold price in US dollar,[object Object],385.27
1995/12,KBP5357M,London gold price in US dollar,[object Object],387.42
1996/01,KBP5357M,London gold price in US dollar,[object Object],399.07
1996/02,KBP5357M,London gold price in US dollar,[object Object],404.84
1996/03,KBP5357M,London gold price in US dollar,[object Object],396.36
1996/04,KBP5357M,London gold price in US dollar,[object Object],392.86
1996/05,KBP5357M,London gold price in US dollar,[object Object],392.00
1996/06,KBP5357M,London gold price in US dollar,[object Object],385.26
1996/07,KBP5357M,London gold price in US dollar,[object Object],383.47
1996/08,KBP5357M,London gold price in US dollar,[object Object],387.43
1996/09,KBP5357M,London gold price in US dollar,[object Object],383.21
1996/10,KBP5357M,London gold price in US dollar,[object Object],380.99
1996/11,KBP5357M,London gold price in US dollar,[object Object],377.84
1996/12,KBP5357M,London gold price in US dollar,[object Object],369.18
1997/01,KBP5357M,London gold price in US dollar,[object Object],355.06
1997/02,KBP5357M,London gold price in US dollar,[object Object],346.49
1997/03,KBP5357M,London gold price in US dollar,[object Object],352.06
1997/04,KBP5357M,London gold price in US dollar,[object Object],344.59
1997/05,KBP5357M,London gold price in US dollar,[object Object],343.69
1997/06,KBP5357M,London gold price in US dollar,[object Object],340.83
1997/07,KBP5357M,London gold price in US dollar,[object Object],323.94
