"Date","Price","Open","High","Low","Vol.","Change %"
"11/18/2024","46,852.48","46,595.50","47,185.01","46,544.26","","0.57%"
"11/15/2024","46,588.41","46,856.89","47,055.00","46,478.93","","-0.43%"
"11/14/2024","46,789.76","46,907.71","47,075.18","46,339.84","","-0.21%"
"11/13/2024","46,887.67","47,071.30","47,420.21","46,765.06","","-0.26%"
"11/12/2024","47,011.33","46,944.61","47,328.64","46,750.97","","0.27%"
"11/11/2024","46,886.66","47,261.83","47,565.24","46,811.80","","-0.67%"
"11/08/2024","47,204.29","46,840.98","47,453.50","46,606.79","","0.87%"
"11/07/2024","46,795.40","46,933.03","47,138.38","46,361.70","","0.00%"
"11/06/2024","46,795.17","47,718.50","48,791.17","46,819.23","","-1.86%"
"11/05/2024","47,684.08","47,984.27","48,047.29","47,581.86","","-0.41%"
"11/04/2024","47,879.46","48,319.18","48,340.80","47,879.71","","-0.75%"
"11/01/2024","48,242.34","48,212.96","48,665.65","48,087.19","","0.13%"
"10/31/2024","48,178.64","49,225.96","49,365.56","48,222.94","","-2.07%"
"10/30/2024","49,198.06","49,014.60","49,397.33","48,789.94","","0.49%"
"10/29/2024","48,959.79","48,521.36","49,090.88","48,491.50","","1.01%"
"10/28/2024","48,471.86","48,528.61","48,656.68","48,111.66","","-0.03%"
"10/25/2024","48,486.90","48,337.60","48,603.43","47,934.64","","0.43%"
"10/24/2024","48,278.59","48,280.55","48,584.29","48,169.32","","0.18%"
"10/23/2024","48,192.19","48,259.20","48,746.36","48,004.99","","0.01%"
"10/22/2024","48,189.20","47,913.67","48,278.62","47,860.71","","0.69%"
"10/21/2024","47,856.73","47,883.67","48,259.59","47,767.79","","-0.05%"
"10/18/2024","47,879.68","47,644.67","47,969.77","47,455.74","","0.64%"
"10/17/2024","47,573.45","47,077.39","47,870.08","47,042.07","","1.13%"
"10/16/2024","47,041.27","46,990.80","47,356.73","46,857.25","","0.29%"
"10/15/2024","46,906.70","46,553.05","47,125.45","46,429.34","","0.90%"
"10/14/2024","46,487.71","46,275.98","46,734.25","46,053.89","","0.55%"
"10/11/2024","46,234.27","46,060.84","46,387.67","45,989.39","","0.50%"
"10/10/2024","46,005.76","46,034.66","46,216.36","45,794.70","","-0.01%"
"10/09/2024","46,010.35","46,051.11","46,320.44","45,889.46","","0.05%"
"10/08/2024","45,989.04","45,933.93","46,380.02","45,789.47","","0.24%"
"10/07/2024","45,877.85","46,413.36","46,415.96","45,857.91","","-1.06%"
"10/04/2024","46,369.35","46,516.14","46,666.64","46,192.96","","-0.20%"
"10/03/2024","46,460.37","46,151.84","46,595.15","45,701.80","","0.87%"
"10/02/2024","46,061.14","46,342.86","46,455.41","45,839.93","","-0.55%"
