Date,Code,Description,Unit of Measure,Value
1973/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1268
1973/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1177
1973/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1080
1973/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1067
1973/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,924
1973/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,796
1974/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,771
1974/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,835
1974/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,923
1974/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,828
1974/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,800
1974/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,777
1974/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,784
1974/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,729
1974/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,737
1974/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,754
1974/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,817
1974/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,729
1975/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,740
1975/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,747
1975/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,751
1975/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,714
1975/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,744
1975/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,720
1975/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,763
1975/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,794
1975/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,933
1975/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,972
1975/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,972
1975/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,940
1976/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,960
1976/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,859
